"from","to","interval","rep","Tmax","strength"
"s1","s2",6.56859807285815,7,300,1
"s1","s2",6.63690351672059,7,300,1
"s1","s2",6.25648140239481,7,300,1
"s1","s2",6.14313892633634,7,300,1
"s1","s2",6.16284554779091,7,300,1
"s1","s2",6.0507635835188,7,300,1
"s1","s2",6.12388834396826,7,300,1
"s1","s2",6.22506214664598,7,300,1
"s1","s2",6.42311618766553,7,300,1
"s1","s2",6.61354526502367,7,300,1
"s1","s2",6.42260889857801,7,300,1
"s1","s2",6.43442219820838,7,300,1
"s1","s2",6.27502029374756,7,300,1
"s1","s2",6.49318397646039,7,300,1
"s1","s2",6.59689688793236,7,300,1
"s1","s2",6.21755675599042,7,300,1
"s1","s2",6.48319316668274,7,300,1
"s1","s2",6.61984281273608,7,300,1
"s1","s2",6.07227374010172,7,300,1
"s1","s2",6.02250371931712,7,300,1
"s1","s2",6.29463070467972,7,300,1
"s1","s2",6.5362226069837,7,300,1
"s1","s2",6.26380539447359,7,300,1
"s1","s2",6.53628830582259,7,300,1
"s1","s2",6.52921164188762,7,300,1
"s1","s2",6.23173187231289,7,300,1
"s1","s2",6.44786082340352,7,300,1
"s1","s2",6.1950214499228,7,300,1
"s1","s2",6.30315773976196,7,300,1
"s1","s2",6.76548272747198,7,300,1
"s1","s2",6.05675167588134,7,300,1
"s1","s2",6.75216909476147,7,300,1
"s1","s2",5.91369875729411,7,300,1
"s1","s2",6.15305769614869,7,300,1
"s1","s2",6.66015777131105,7,300,1
"s1","s2",6.48409212014715,7,300,1
"s1","s2",6.41649651569941,7,300,1
"s1","s2",6.43090453950976,7,300,1
"s1","s2",6.39037729873266,7,300,1
"s1","s2",6.46612158835218,7,300,1
"s1","s2",6.16969524358215,7,300,1
"s1","s2",6.04120342928764,7,300,1
"s1","s2",6.3421146886202,7,300,1
"s1","s2",6.35667507048061,7,300,1
"s1","s2",6.37449254076927,7,300,1
"s1","s2",6.22844444792253,7,300,1
"s1","s2",6.43060104141995,7,300,1
"s1","s2",6.75728322726274,7,300,1
"s1","s2",6.1774479442341,7,300,1
"s1","s2",6.10042094108482,7,300,1
"s1","s2",6.48083508314127,7,300,1
"s1","s2",6.33876714751271,7,300,1
"s1","s2",6.30705617413034,7,300,1
"s1","s2",6.25182183296974,7,300,1
"s1","s2",6.5605110308789,7,300,1
"s1","s2",6.39361831320484,7,300,1
"s1","s2",6.2417568828246,7,300,1
"s1","s2",6.22990784455705,7,300,1
"s1","s2",6.54115458302289,7,300,1
"s1","s2",6.30714575744966,7,300,1
"s1","s2",6.06243380744557,7,300,1
"s1","s2",6.31472166401267,7,300,1
"s1","s2",6.34524423195221,7,300,1
"s1","s2",6.32631074056849,7,300,1
"s1","s2",6.03515837954584,7,300,1
"s1","s2",6.06986081807457,7,300,1
"s1","s2",6.34987944300973,7,300,1
"s1","s2",6.33074580902559,7,300,1
"s1","s2",6.18961616296653,7,300,1
"s1","s2",6.35383602792358,7,300,1
"s1","s2",6.44808761573676,7,300,1
"s1","s2",6.47583800993272,7,300,1
"s1","s2",6.46384608058621,7,300,1
"s1","s2",6.85627399167869,7,300,1
"s1","s2",6.12079364788491,7,300,1
"s1","s2",6.13192960029208,7,300,1
"s1","s2",6.40421085449066,7,300,1
"s1","s2",6.05637883702448,7,300,1
"s1","s2",6.57203077808985,7,300,1
"s1","s2",6.48124218251066,7,300,1
"s1","s2",6.37529686337297,7,300,1
"s1","s2",6.60020301261195,7,300,1
"s1","s2",6.13325845611169,7,300,1
"s1","s2",6.34199597145409,7,300,1
"s1","s2",6.41649651569941,7,300,1
"s1","s2",6.36429155974605,7,300,1
"s1","s2",6.28562630238753,7,300,1
"s1","s2",6.37727034033475,7,300,1
"s1","s2",6.32319274048584,7,300,1
"s1","s2",6.66818734520809,7,300,1
"s1","s2",6.2682440105298,7,300,1
"s1","s2",6.36773826898008,7,300,1
"s1","s2",6.43529223570219,7,300,1
"s1","s2",6.17112888089891,7,300,1
"s1","s2",6.14626036331994,7,300,1
"s1","s2",6.16446645803276,7,300,1
"s1","s2",6.37749220483533,7,300,1
"s1","s2",6.27502029374756,7,300,1
"s1","s2",6.43318201924194,7,300,1
"s1","s2",6.37431293466591,7,300,1
"s1","s2",6.39325308754312,7,300,1
"s1","s2",6.52540401473388,7,300,1
"s1","s2",6.07172250102997,7,300,1
"s1","s2",6.01250886771464,7,300,1
"s1","s2",6.33080044724054,7,300,1
"s1","s2",6.20406824390659,7,300,1
"s1","s2",6.43103226333696,7,300,1
"s1","s2",6.0002408611433,7,300,1
"s1","s2",6.46938884787986,7,300,1
"s1","s2",6.6699311975368,7,300,1
"s1","s2",6.1622514995515,7,300,1
"s1","s2",6.41237550775364,7,300,1
"s1","s2",6.09729469907206,7,300,1
"s1","s2",6.61071907699585,7,300,1
"s1","s2",6.53317393673964,7,300,1
"s1","s2",6.34847163018622,7,300,1
"s1","s2",6.42460743535261,7,300,1
