"from","to","pval","rep","Tmax","strength","effect"
"s1","s2",0.336,1,20,0.01,0.10821628662643
"s1","s3",0.022,1,20,0.01,-1.82716832481407
"s1","s4",0.057,1,20,0.01,-1.52275073531302
"s1","s5",0.035,1,20,0.01,1.2151833831068
"s2","s1",0.451,1,20,0.01,-0.0989265701639903
"s2","s3",0.158,1,20,0.01,0.4038441779746
"s2","s4",0.345,1,20,0.01,0.2231677377031
"s2","s5",0.266,1,20,0.01,-0.58134229220873
"s3","s1",0.014,1,20,0.01,1.3162833422484
"s3","s2",0.463,1,20,0.01,-0.0850677046151298
"s3","s4",0.141,1,20,0.01,-0.82067819756892
"s3","s5",0.241,1,20,0.01,0.774835494789611
"s4","s1",0.385,1,20,0.01,0.37538014875354
"s4","s2",0.129,1,20,0.01,-1.10115192610056
"s4","s3",0.224,1,20,0.01,0.42756321306485
"s4","s5",0.206,1,20,0.01,0.31582925867464
"s5","s1",0.335,1,20,0.01,-0.33873103189354
"s5","s2",0.37,1,20,0.01,0.25169143342037
"s5","s3",0.47,1,20,0.01,0.0376318975395504
"s5","s4",0.43,1,20,0.01,-0.12224174896096
"s1","s2",0.388,2,20,0.01,-0.193175184901
"s1","s3",0.014,2,20,0.01,2.02730844946348
"s1","s4",0.234,2,20,0.01,0.7202037581429
"s1","s5",0.266,2,20,0.01,0.855942672039991
"s2","s1",0.458,2,20,0.01,0.121283546817311
"s2","s3",0.316,2,20,0.01,-0.34152537724941
"s2","s4",0.135,2,20,0.01,1.26714091784422
"s2","s5",0.382,2,20,0.01,0.32782209305328
"s3","s1",0.053,2,20,0.01,-0.99885489244507
"s3","s2",0.379,2,20,0.01,0.0892935491463196
"s3","s4",0.476,2,20,0.01,-0.0451593589528798
"s3","s5",0.252,2,20,0.01,0.40845136478202
"s4","s1",0.201,2,20,0.01,1.17864288943434
"s4","s2",0.089,2,20,0.01,-0.84125721051446
"s4","s3",0.405,2,20,0.01,0.46690913288263
"s4","s5",0.107,2,20,0.01,-0.92005958637186
"s5","s1",0.47,2,20,0.01,0.05317508470901
"s5","s2",0.383,2,20,0.01,-0.16567989647737
"s5","s3",0.421,2,20,0.01,0.0815774141710102
"s5","s4",0.276,2,20,0.01,0.911633282756201
"s1","s2",0.006,3,20,0.01,-1.73013260858601
"s1","s3",0.413,3,20,0.01,-0.34501998348085
"s1","s4",0.218,3,20,0.01,0.53483298330774
"s1","s5",0.324,3,20,0.01,0.27315511270677
"s2","s1",0.195,3,20,0.01,-0.88777329171647
"s2","s3",0.242,3,20,0.01,-0.59773337398199
"s2","s4",0.057,3,20,0.01,-1.23977198758045
"s2","s5",0.457,3,20,0.01,-0.11561833771453
"s3","s1",0.187,3,20,0.01,0.87908652505624
"s3","s2",0.094,3,20,0.01,0.70676753138049
"s3","s4",0.469,3,20,0.01,-0.0564990021075902
"s3","s5",0.359,3,20,0.01,-0.21541224192137
"s4","s1",0.405,3,20,0.01,-0.2157963770106
"s4","s2",0.16,3,20,0.01,-0.913360474799241
"s4","s3",0.27,3,20,0.01,-0.63598335165504
"s4","s5",0.027,3,20,0.01,-1.68107213874367
"s5","s1",0.111,3,20,0.01,0.38934449162683
"s5","s2",0.151,3,20,0.01,-1.01314292072224
"s5","s3",0.414,3,20,0.01,0.18490183023847
"s5","s4",0.358,3,20,0.01,0.41390630718762
"s1","s2",0.187,4,20,0.01,1.03251176614913
"s1","s3",0.469,4,20,0.01,-0.0507086203279901
"s1","s4",0.11,4,20,0.01,-1.07682876998928
"s1","s5",0.454,4,20,0.01,0.0373375030293195
"s2","s1",0.288,4,20,0.01,-0.44529770988999
"s2","s3",0.117,4,20,0.01,1.04465210847547
"s2","s4",0.12,4,20,0.01,0.48669289996418
"s2","s5",0.198,4,20,0.01,-0.451625384021039
"s3","s1",0.176,4,20,0.01,-0.671735380278339
"s3","s2",0.295,4,20,0.01,-0.96277432688209
"s3","s4",0.448,4,20,0.01,-0.14313350880777
"s3","s5",0.271,4,20,0.01,-0.70422057713064
"s4","s1",0.085,4,20,0.01,-1.44000428985087
"s4","s2",0.205,4,20,0.01,1.00311423354223
"s4","s3",0.238,4,20,0.01,-0.3652925613666
"s4","s5",0.279,4,20,0.01,-0.41373098455857
"s5","s1",0.107,4,20,0.01,0.65395161128541
"s5","s2",0.422,4,20,0.01,0.16176356551037
"s5","s3",0.095,4,20,0.01,-1.24604074340604
"s5","s4",0.39,4,20,0.01,-0.18478268595453
"s1","s2",0.33,5,20,0.01,0.364320194380451
"s1","s3",0.473,5,20,0.01,-0.24656731359936
"s1","s4",0.113,5,20,0.01,-0.86506377117644
"s1","s5",0.373,5,20,0.01,0.24089118111513
"s2","s1",0.177,5,20,0.01,0.85253520927291
"s2","s3",0.288,5,20,0.01,-0.50030534164725
"s2","s4",0.133,5,20,0.01,0.83406256215643
"s2","s5",0.127,5,20,0.01,-0.76125731897034
"s3","s1",0.305,5,20,0.01,0.43222312821202
"s3","s2",0.011,5,20,0.01,-2.2129007067907
"s3","s4",0.263,5,20,0.01,0.52789044977706
"s3","s5",0.115,5,20,0.01,0.9466020765555
"s4","s1",0.152,5,20,0.01,0.77391097691898
"s4","s2",0.143,5,20,0.01,-0.20061352950492
"s4","s3",0.163,5,20,0.01,0.80174974356961
"s4","s5",0.378,5,20,0.01,0.23305174149556
"s5","s1",0.44,5,20,0.01,0.0404656518676503
"s5","s2",0.472,5,20,0.01,-0.0908730402563198
"s5","s3",0.091,5,20,0.01,1.62289519022897
"s5","s4",0.164,5,20,0.01,-0.56268691582029
"s1","s2",0.294,6,20,0.01,0.511879360082681
"s1","s3",0.211,6,20,0.01,0.95254357917437
"s1","s4",0.063,6,20,0.01,-1.86434957972243
"s1","s5",0.022,6,20,0.01,-1.77632622591619
"s2","s1",0.393,6,20,0.01,0.26243184429223
"s2","s3",0.354,6,20,0.01,0.50554111868962
"s2","s4",0.366,6,20,0.01,-0.34011012126235
"s2","s5",0.145,6,20,0.01,0.8517847371385
"s3","s1",0.451,6,20,0.01,0.10135053642608
"s3","s2",0.122,6,20,0.01,-1.41105351750677
"s3","s4",0.034,6,20,0.01,-2.37948381502593
"s3","s5",0.076,6,20,0.01,1.31532328534232
"s4","s1",0.406,6,20,0.01,0.05960079362423
"s4","s2",0.247,6,20,0.01,1.07462279604147
"s4","s3",0.328,6,20,0.01,-0.50705780275763
"s4","s5",0.198,6,20,0.01,0.45457923758794
"s5","s1",0.312,6,20,0.01,-0.46232650098213
"s5","s2",0.189,6,20,0.01,1.08901379441403
"s5","s3",0.135,6,20,0.01,-0.90909426997593
"s5","s4",0.057,6,20,0.01,1.05897525442415
"s1","s2",0.205,7,20,0.01,-0.35594290031481
"s1","s3",0.052,7,20,0.01,-1.02339037666883
"s1","s4",0.165,7,20,0.01,0.7118916951158
"s1","s5",0.004,7,20,0.01,1.62028632968702
"s2","s1",0.082,7,20,0.01,-0.87770536245206
"s2","s3",0.073,7,20,0.01,-0.73495837428364
"s2","s4",0.426,7,20,0.01,-0.2098717944428
"s2","s5",0.326,7,20,0.01,0.49876368245806
"s3","s1",0.281,7,20,0.01,0.18941227097916
"s3","s2",0.122,7,20,0.01,0.63141793909853
"s3","s4",0.112,7,20,0.01,-0.87000764703866
"s3","s5",0.145,7,20,0.01,-0.86049305323328
"s4","s1",0.086,7,20,0.01,-1.66971611660455
"s4","s2",0.465,7,20,0.01,0.0267699171117997
"s4","s3",0.19,7,20,0.01,0.64314116241381
"s4","s5",0.202,7,20,0.01,-0.45450785587341
"s5","s1",0.499,7,20,0.01,0.0277943136743501
"s5","s2",0.018,7,20,0.01,-2.30719967174609
"s5","s3",0.354,7,20,0.01,0.38506232851091
"s5","s4",0.037,7,20,0.01,1.46998086184734
"s1","s2",0.223,8,20,0.01,0.53454697343752
"s1","s3",0.005,8,20,0.01,-1.14489121989496
"s1","s4",0.147,8,20,0.01,1.55726116533021
"s1","s5",0.113,8,20,0.01,0.82877319364966
"s2","s1",0.121,8,20,0.01,0.79869621821656
"s2","s3",0.127,8,20,0.01,0.70562617215555
"s2","s4",0.04,8,20,0.01,2.09177006655032
"s2","s5",0.099,8,20,0.01,1.11152337225536
"s3","s1",0.011,8,20,0.01,2.34944428073678
"s3","s2",0.231,8,20,0.01,0.830102737869451
"s3","s4",0.084,8,20,0.01,-1.40571900289313
"s3","s5",0.427,8,20,0.01,-0.36750232357021
"s4","s1",0.456,8,20,0.01,-0.0560115199928899
"s4","s2",0.11,8,20,0.01,0.91196894803617
"s4","s3",0.04,8,20,0.01,-1.9366170798337
"s4","s5",0.406,8,20,0.01,-0.27469073783097
"s5","s1",0.292,8,20,0.01,-0.40259247090125
"s5","s2",0.102,8,20,0.01,-0.66494869360212
"s5","s3",0.149,8,20,0.01,1.29173693331011
"s5","s4",0.032,8,20,0.01,1.35071491286506
"s1","s2",0.292,9,20,0.01,-0.53258485505769
"s1","s3",0.01,9,20,0.01,-4.6253609735379
"s1","s4",0.499,9,20,0.01,0.000552591568859562
"s1","s5",0.417,9,20,0.01,-0.180908321039571
"s2","s1",0.051,9,20,0.01,-1.41783510087178
"s2","s3",0.403,9,20,0.01,-0.33331752646998
"s2","s4",0.01,9,20,0.01,2.54550900570113
"s2","s5",0.03,9,20,0.01,-1.53486400469884
"s3","s1",0.181,9,20,0.01,0.94824434630423
"s3","s2",0.235,9,20,0.01,0.86143896304443
"s3","s4",0.167,9,20,0.01,0.85514627309214
"s3","s5",0.412,9,20,0.01,-0.3226235244833
"s4","s1",0.301,9,20,0.01,-0.610179754195149
"s4","s2",0.174,9,20,0.01,-0.56804117139999
"s4","s3",0.219,9,20,0.01,0.39067743929703
"s4","s5",0.367,9,20,0.01,-0.37101665605471
"s5","s1",0.411,9,20,0.01,0.32867768650678
"s5","s2",0.332,9,20,0.01,0.41429102988576
"s5","s3",0.172,9,20,0.01,0.95551256400584
"s5","s4",0.197,9,20,0.01,-1.94504285271476
"s1","s2",0.347,10,20,0.01,0.28915140609768
"s1","s3",0.124,10,20,0.01,0.55276160013582
"s1","s4",0.44,10,20,0.01,0.13235940352184
"s1","s5",0.102,10,20,0.01,1.41538904511775
"s2","s1",0.107,10,20,0.01,-0.71335476337471
"s2","s3",0.179,10,20,0.01,-0.60319692890781
"s2","s4",0.331,10,20,0.01,0.39372069035241
"s2","s5",0.277,10,20,0.01,-0.573604248286061
"s3","s1",0.049,10,20,0.01,1.55558073246874
"s3","s2",0.371,10,20,0.01,-0.30450162027502
"s3","s4",0.157,10,20,0.01,0.98426976659737
"s3","s5",0.301,10,20,0.01,0.40400251743152
"s4","s1",0.067,10,20,0.01,-2.23449751262987
"s4","s2",0.136,10,20,0.01,0.59766703420574
"s4","s3",0.116,10,20,0.01,0.82293937221392
"s4","s5",0.274,10,20,0.01,0.57419543361448
"s5","s1",0.474,10,20,0.01,-0.0436240365560101
"s5","s2",0.374,10,20,0.01,-0.17389284591113
"s5","s3",0.133,10,20,0.01,-1.03962199456565
"s5","s4",0.25,10,20,0.01,-0.71836140757611
"s1","s2",0.006,11,20,0.01,1.99098048718292
"s1","s3",0.408,11,20,0.01,0.28310392241055
"s1","s4",0.283,11,20,0.01,0.49922290684436
"s1","s5",0.37,11,20,0.01,-0.25515958398152
"s2","s1",0.408,11,20,0.01,0.276554097942951
"s2","s3",0.052,11,20,0.01,0.885769377496009
"s2","s4",0.242,11,20,0.01,-0.43478067155966
"s2","s5",0.027,11,20,0.01,1.59788629160106
"s3","s1",0.348,11,20,0.01,0.56781015188639
"s3","s2",0.07,11,20,0.01,-1.31839247087324
"s3","s4",0.36,11,20,0.01,0.29778450883516
"s3","s5",0.451,11,20,0.01,0.0995925773896698
"s4","s1",0.077,11,20,0.01,0.97725431996008
"s4","s2",0.072,11,20,0.01,1.12814396937149
"s4","s3",0.376,11,20,0.01,0.17663722302414
"s4","s5",0.16,11,20,0.01,0.58022797148219
"s5","s1",0.176,11,20,0.01,1.66767401301505
"s5","s2",0.185,11,20,0.01,-0.92202585367497
"s5","s3",0.228,11,20,0.01,-0.70380798208812
"s5","s4",0.03,11,20,0.01,-1.40072801848706
"s1","s2",0.235,12,20,0.01,0.53823359008985
"s1","s3",0.32,12,20,0.01,-0.72023420240992
"s1","s4",0.496,12,20,0.01,-0.0181917258564099
"s1","s5",0.392,12,20,0.01,0.28350664383213
"s2","s1",0.108,12,20,0.01,0.40355412595367
"s2","s3",0.307,12,20,0.01,-0.77084231993927
"s2","s4",0.056,12,20,0.01,1.86553161694293
"s2","s5",0.411,12,20,0.01,-0.15758167250849
"s3","s1",0.06,12,20,0.01,-1.19030493063305
"s3","s2",0.04,12,20,0.01,-1.50274739735622
"s3","s4",0.011,12,20,0.01,1.84904341258889
"s3","s5",0.038,12,20,0.01,-1.76471355353801
"s4","s1",0.463,12,20,0.01,-0.0781336564375801
"s4","s2",0.162,12,20,0.01,-0.85031546670016
"s4","s3",0.254,12,20,0.01,-0.99698848472958
"s4","s5",0.501,12,20,0.01,0
"s5","s1",0.378,12,20,0.01,-0.28100268876821
"s5","s2",0.039,12,20,0.01,1.31912712800007
"s5","s3",0.313,12,20,0.01,0.27120508987691
"s5","s4",0.019,12,20,0.01,-2.32593310278349
"s1","s2",0.044,13,20,0.01,-1.68756686282946
"s1","s3",0.109,13,20,0.01,-0.82544884966761
"s1","s4",0.412,13,20,0.01,-0.13994867689626
"s1","s5",0.002,13,20,0.01,-3.09033532105461
"s2","s1",0.202,13,20,0.01,1.21402339847284
"s2","s3",0.343,13,20,0.01,0.58275910402555
"s2","s4",0.177,13,20,0.01,0.52433199760234
"s2","s5",0.297,13,20,0.01,0.51264788633918
"s3","s1",0.284,13,20,0.01,0.36531380754782
"s3","s2",0.412,13,20,0.01,-0.27703055393292
"s3","s4",0.344,13,20,0.01,-0.41957218980596
"s3","s5",0.001,13,20,0.01,-4.01240370733155
"s4","s1",0.026,13,20,0.01,1.07905825840099
"s4","s2",0.457,13,20,0.01,0.0558929547362599
"s4","s3",0.073,13,20,0.01,1.1447964195671
"s4","s5",0.156,13,20,0.01,1.18481235736311
"s5","s1",0.435,13,20,0.01,0.0666893669018997
"s5","s2",0.436,13,20,0.01,0.2307659472024
"s5","s3",0.482,13,20,0.01,-0.0426873323337502
"s5","s4",0.189,13,20,0.01,0.0861351397111401
"s1","s2",0.287,14,20,0.01,0.50767572101394
"s1","s3",0.114,14,20,0.01,-0.89092328231086
"s1","s4",0.054,14,20,0.01,-1.05230570779734
"s1","s5",0.042,14,20,0.01,-3.61679697265216
"s2","s1",0.197,14,20,0.01,0.73367814500616
"s2","s3",0.489,14,20,0.01,-0.0175744566252902
"s2","s4",0.409,14,20,0.01,0.1358533413094
"s2","s5",0.326,14,20,0.01,-0.4868766477863
"s3","s1",0.438,14,20,0.01,-0.04703226627608
"s3","s2",0.384,14,20,0.01,-0.1940150150185
"s3","s4",0.215,14,20,0.01,0.382530450899821
"s3","s5",0.26,14,20,0.01,0.65432447681888
"s4","s1",0.303,14,20,0.01,0.33615863159659
"s4","s2",0.002,14,20,0.01,2.99460831870892
"s4","s3",0.235,14,20,0.01,0.51463607571253
"s4","s5",0.212,14,20,0.01,-1.22185337728846
"s5","s1",0.124,14,20,0.01,0.99359631012288
"s5","s2",0.496,14,20,0.01,0.00979378117086993
"s5","s3",0.128,14,20,0.01,-1.00718328153865
"s5","s4",0.078,14,20,0.01,0.95042495570067
"s1","s2",0.397,15,20,0.01,0.11896914420667
"s1","s3",0.342,15,20,0.01,0.37250452301928
"s1","s4",0.408,15,20,0.01,-1.15667308219805
"s1","s5",0.184,15,20,0.01,0.79397951118531
"s2","s1",0.192,15,20,0.01,1.38753661687012
"s2","s3",0.404,15,20,0.01,0.144669782122611
"s2","s4",0.239,15,20,0.01,0.510452032668139
"s2","s5",0.474,15,20,0.01,0.1057130917857
"s3","s1",0.326,15,20,0.01,0.50639142019557
"s3","s2",0.063,15,20,0.01,-1.52445780491017
"s3","s4",0.119,15,20,0.01,-1.67636952461269
"s3","s5",0.319,15,20,0.01,0.22847775744388
"s4","s1",0.343,15,20,0.01,-0.31724255592802
"s4","s2",0.393,15,20,0.01,-0.31342209292226
"s4","s3",0.432,15,20,0.01,-0.30209969685647
"s4","s5",0.498,15,20,0.01,0.0429270057366602
"s5","s1",0.031,15,20,0.01,-2.99854438517851
"s5","s2",0.072,15,20,0.01,-1.44679741757503
"s5","s3",0.447,15,20,0.01,0.06711149425906
"s5","s4",0.236,15,20,0.01,0.50302661737233
"s1","s2",0.192,16,20,0.01,-0.60801752621324
"s1","s3",0.288,16,20,0.01,-0.35566755937195
"s1","s4",0.369,16,20,0.01,0.14214818490266
"s1","s5",0.094,16,20,0.01,0.94370574135553
"s2","s1",0.256,16,20,0.01,-0.666789052828999
"s2","s3",0.019,16,20,0.01,1.59183264482423
"s2","s4",0.192,16,20,0.01,0.59251313072089
"s2","s5",0.003,16,20,0.01,1.94808393665054
"s3","s1",0.347,16,20,0.01,0.34997948613241
"s3","s2",0.337,16,20,0.01,0.4174557424721
"s3","s4",0.108,16,20,0.01,1.13230699490819
"s3","s5",0.003,16,20,0.01,-1.76420349583447
"s4","s1",0.504,16,20,0.01,0
"s4","s2",0.019,16,20,0.01,1.36067846878096
"s4","s3",0.015,16,20,0.01,1.24843667054966
"s4","s5",0.001,16,20,0.01,2.46716276555662
"s5","s1",0.397,16,20,0.01,0.19287392385263
"s5","s2",0.202,16,20,0.01,0.2561973002007
"s5","s3",0.357,16,20,0.01,0.24350288948317
"s5","s4",0.002,16,20,0.01,2.04149359792103
"s1","s2",0.362,17,20,0.01,-0.45955822806765
"s1","s3",0.106,17,20,0.01,0.66161315396763
"s1","s4",0.303,17,20,0.01,-0.22898842578374
"s1","s5",0.272,17,20,0.01,0.5226347624734
"s2","s1",0.023,17,20,0.01,-1.37289917512238
"s2","s3",0.028,17,20,0.01,-1.11083437051198
"s2","s4",0.398,17,20,0.01,0.15247579777341
"s2","s5",0.002,17,20,0.01,2.80816305518561
"s3","s1",0.35,17,20,0.01,-0.35491691304989
"s3","s2",0.077,17,20,0.01,-3.50511003248408
"s3","s4",0.145,17,20,0.01,0.84153495022277
"s3","s5",0.145,17,20,0.01,1.15159959028034
"s4","s1",0.434,17,20,0.01,0.10009003425175
"s4","s2",0.286,17,20,0.01,0.56152077511322
"s4","s3",0.437,17,20,0.01,-0.0539569044292003
"s4","s5",0.393,17,20,0.01,0.14349961232835
"s5","s1",0.049,17,20,0.01,-1.02126058908319
"s5","s2",0.085,17,20,0.01,-1.53495985159946
"s5","s3",0.112,17,20,0.01,-1.86727525020644
"s5","s4",0.248,17,20,0.01,0.43233831135631
"s1","s2",0.495,18,20,0.01,-0.0390058986400699
"s1","s3",0.39,18,20,0.01,-0.29818138307101
"s1","s4",0.248,18,20,0.01,1.20292922485712
"s1","s5",0.466,18,20,0.01,0.49401631207912
"s2","s1",0.397,18,20,0.01,-0.60291659078235
"s2","s3",0.089,18,20,0.01,1.25707860387114
"s2","s4",0.042,18,20,0.01,0.98802199860922
"s2","s5",0.294,18,20,0.01,-0.73177059604948
"s3","s1",0.187,18,20,0.01,-1.10857987910295
"s3","s2",0.46,18,20,0.01,-0.11296178466457
"s3","s4",0.117,18,20,0.01,-0.80758002921799
"s3","s5",0.23,18,20,0.01,-0.58477054264304
"s4","s1",0.405,18,20,0.01,0.10971304728566
"s4","s2",0.472,18,20,0.01,-0.0275799960474998
"s4","s3",0.445,18,20,0.01,0.11761081170169
"s4","s5",0.355,18,20,0.01,-0.38865929199702
"s5","s1",0.249,18,20,0.01,1.30074922176414
"s5","s2",0.376,18,20,0.01,0.53611366576116
"s5","s3",0.002,18,20,0.01,2.72054849022359
"s5","s4",0.171,18,20,0.01,-0.55490831121957
"s1","s2",0.236,19,20,0.01,-0.62601691822285
"s1","s3",0.158,19,20,0.01,-0.669594571332549
"s1","s4",0.001,19,20,0.01,2.36119722515989
"s1","s5",0.355,19,20,0.01,0.645253097073839
"s2","s1",0.255,19,20,0.01,0.40109315723191
"s2","s3",0.008,19,20,0.01,-2.43616743045693
"s2","s4",0.346,19,20,0.01,0.25279152816169
"s2","s5",0.218,19,20,0.01,0.84303846880511
"s3","s1",0.076,19,20,0.01,-1.54569284615988
"s3","s2",0.389,19,20,0.01,0.37026895858312
"s3","s4",0.357,19,20,0.01,-0.37518477605129
"s3","s5",0.048,19,20,0.01,-1.02688108340809
"s4","s1",0.188,19,20,0.01,-0.56134598903042
"s4","s2",0.407,19,20,0.01,0.0674989949057196
"s4","s3",0.308,19,20,0.01,0.438498377912169
"s4","s5",0.174,19,20,0.01,0.75357445198083
"s5","s1",0.367,19,20,0.01,0.12396062666759
"s5","s2",0.437,19,20,0.01,-0.18259102955142
"s5","s3",0.273,19,20,0.01,0.559766578677079
"s5","s4",0.029,19,20,0.01,-2.1789459456724
"s1","s2",0.459,20,20,0.01,-0.32644768308998
"s1","s3",0.207,20,20,0.01,-0.57995050145935
"s1","s4",0.04,20,20,0.01,-1.56409235833807
"s1","s5",0.252,20,20,0.01,0.53334496287247
"s2","s1",0.032,20,20,0.01,-2.44792495281369
"s2","s3",0.048,20,20,0.01,-2.19900111295876
"s2","s4",0.188,20,20,0.01,-0.786091458959191
"s2","s5",0.16,20,20,0.01,-1.33754705323249
"s3","s1",0.408,20,20,0.01,0.30827476280917
"s3","s2",0.148,20,20,0.01,-1.12325735225285
"s3","s4",0.479,20,20,0.01,-0.0415676784471302
"s3","s5",0.027,20,20,0.01,-2.47653461653509
"s4","s1",0.106,20,20,0.01,-0.65961571021714
"s4","s2",0.164,20,20,0.01,1.50147821183046
"s4","s3",0.202,20,20,0.01,0.11971239149136
"s4","s5",0.057,20,20,0.01,1.10572342854438
"s5","s1",0.129,20,20,0.01,0.59452428813349
"s5","s2",0.457,20,20,0.01,-0.14201924455028
"s5","s3",0.158,20,20,0.01,0.68822761519139
"s5","s4",0.471,20,20,0.01,-0.04898498560074
"s1","s2",0.339,21,20,0.01,0.59441738646391
"s1","s3",0.453,21,20,0.01,0.0808716743353299
"s1","s4",0.113,21,20,0.01,0.70271538627168
"s1","s5",0.099,21,20,0.01,0.75689470341512
"s2","s1",0.007,21,20,0.01,-2.36915869201852
"s2","s3",0.182,21,20,0.01,0.98519240041913
"s2","s4",0.319,21,20,0.01,-0.43661559044054
"s2","s5",0.479,21,20,0.01,-0.02773509928309
"s3","s1",0.236,21,20,0.01,-0.54470334828311
"s3","s2",0.439,21,20,0.01,-0.12062357233288
"s3","s4",0.136,21,20,0.01,-0.3768110610435
"s3","s5",0.329,21,20,0.01,0.2730521029938
"s4","s1",0.304,21,20,0.01,-0.40323687983128
"s4","s2",0.157,21,20,0.01,-1.23703767025434
"s4","s3",0.44,21,20,0.01,0.0791182187715798
"s4","s5",0.324,21,20,0.01,0.40166482026702
"s5","s1",0.32,21,20,0.01,-0.29160113120252
"s5","s2",0.294,21,20,0.01,0.37599917403244
"s5","s3",0.247,21,20,0.01,0.69903822380908
"s5","s4",0.132,21,20,0.01,0.95187144407247
"s1","s2",0.044,22,20,0.01,-1.82181017766566
"s1","s3",0.329,22,20,0.01,0.29208545028787
"s1","s4",0.406,22,20,0.01,0.208172338664181
"s1","s5",0.335,22,20,0.01,-0.48228899714313
"s2","s1",0.425,22,20,0.01,-0.108373455473
"s2","s3",0.024,22,20,0.01,-2.7472249421755
"s2","s4",0.446,22,20,0.01,-0.0864552593905303
"s2","s5",0.312,22,20,0.01,-0.20542594308468
"s3","s1",0.074,22,20,0.01,0.68272309877683
"s3","s2",0.098,22,20,0.01,-1.67666993232051
"s3","s4",0.343,22,20,0.01,0.08032722150715
"s3","s5",0.12,22,20,0.01,0.43567007948254
"s4","s1",0.376,22,20,0.01,0.21662503957162
"s4","s2",0.213,22,20,0.01,0.45166250335535
"s4","s3",0.389,22,20,0.01,-0.0913006516085897
"s4","s5",0.451,22,20,0.01,-0.11292487085233
"s5","s1",0.382,22,20,0.01,0.28594840360559
"s5","s2",0.397,22,20,0.01,0.25615079636117
"s5","s3",0.187,22,20,0.01,-1.07737519585272
"s5","s4",0.101,22,20,0.01,1.28165205057362
"s1","s2",0.303,23,20,0.01,-0.29806059402372
"s1","s3",0.26,23,20,0.01,-0.46240145628257
"s1","s4",0.48,23,20,0.01,-0.109189942534011
"s1","s5",0.477,23,20,0.01,-0.00424758937105008
"s2","s1",0.008,23,20,0.01,-1.82984565137561
"s2","s3",0.194,23,20,0.01,0.99383389421587
"s2","s4",0.36,23,20,0.01,-0.1400598776807
"s2","s5",0.008,23,20,0.01,-1.76245196839257
"s3","s1",0.121,23,20,0.01,-2.23728648384682
"s3","s2",0.449,23,20,0.01,0.1031941569608
"s3","s4",0.311,23,20,0.01,-0.24933741588434
"s3","s5",0.028,23,20,0.01,1.68885101685989
"s4","s1",0.036,23,20,0.01,1.12146391682215
"s4","s2",0.254,23,20,0.01,0.42524160885951
"s4","s3",0.485,23,20,0.01,-0.0241399968192497
"s4","s5",0.147,23,20,0.01,-1.36894797157196
"s5","s1",0.414,23,20,0.01,-0.326765879603941
"s5","s2",0.234,23,20,0.01,0.59307627741323
"s5","s3",0.172,23,20,0.01,-0.64874128133798
"s5","s4",0.079,23,20,0.01,1.02334213033491
"s1","s2",0.029,24,20,0.01,-1.49767332475197
"s1","s3",0.016,24,20,0.01,1.23920522497223
"s1","s4",0.269,24,20,0.01,0.61988454000485
"s1","s5",0.036,24,20,0.01,1.41720713146321
"s2","s1",0.403,24,20,0.01,0.27714228132036
"s2","s3",0.415,24,20,0.01,0.24630485613559
"s2","s4",0.183,24,20,0.01,-0.74589046720915
"s2","s5",0.127,24,20,0.01,-0.62423471426378
"s3","s1",0.503,24,20,0.01,0
"s3","s2",0.373,24,20,0.01,-0.448095747597679
"s3","s4",0.495,24,20,0.01,-0.0248065795498498
"s3","s5",0.4,24,20,0.01,0.11999008028498
"s4","s1",0.07,24,20,0.01,1.38757958741454
"s4","s2",0.252,24,20,0.01,-0.78261527464524
"s4","s3",0.009,24,20,0.01,-1.66031740819581
"s4","s5",0.016,24,20,0.01,-2.14602396062726
"s5","s1",0.358,24,20,0.01,-0.28155038888542
"s5","s2",0.055,24,20,0.01,1.36882209409946
"s5","s3",0.209,24,20,0.01,-1.18163202871271
"s5","s4",0.244,24,20,0.01,0.56238336643097
"s1","s2",0.404,25,20,0.01,0.26523977313243
"s1","s3",0.201,25,20,0.01,-0.61021309518645
"s1","s4",0.248,25,20,0.01,-0.70945664334392
"s1","s5",0.28,25,20,0.01,0.4001927155368
"s2","s1",0.372,25,20,0.01,0.0960209399699403
"s2","s3",0.283,25,20,0.01,0.36391667032806
"s2","s4",0.366,25,20,0.01,0.20083269862621
"s2","s5",0.212,25,20,0.01,0.88371143677833
"s3","s1",0.129,25,20,0.01,-1.20222265233047
"s3","s2",0.365,25,20,0.01,-0.3680761992648
"s3","s4",0.396,25,20,0.01,0.22346470475355
"s3","s5",0.139,25,20,0.01,0.38190332049619
"s4","s1",0.397,25,20,0.01,-0.16805561366368
"s4","s2",0.005,25,20,0.01,1.85464263239378
"s4","s3",0.039,25,20,0.01,0.9757889899949
"s4","s5",0.059,25,20,0.01,1.3560326684872
"s5","s1",0.314,25,20,0.01,-0.53708385431822
"s5","s2",0.162,25,20,0.01,1.1065242368855
"s5","s3",0.001,25,20,0.01,4.18192016193003
"s5","s4",0.194,25,20,0.01,0.97358706622778
"s1","s2",0.113,26,20,0.01,-1.34716802400354
"s1","s3",0.199,26,20,0.01,0.695752781568
"s1","s4",0.385,26,20,0.01,0.18463821944439
"s1","s5",0.156,26,20,0.01,1.09682263425102
"s2","s1",0.153,26,20,0.01,-1.16192153072504
"s2","s3",0.386,26,20,0.01,0.21949756016442
"s2","s4",0.121,26,20,0.01,-0.59634504344212
"s2","s5",0.031,26,20,0.01,1.31128495822056
