"from","to","interval","rep","Tmax","strength"
"s1","s2",6.28754293938266,11,400,0.5
"s1","s2",6.56874017593356,11,400,0.5
"s1","s2",6.86081027920727,11,400,0.5
"s1","s2",6.60138696599319,11,400,0.5
"s1","s2",7.14820922966637,11,400,0.5
"s1","s2",6.4711232341989,11,400,0.5
"s1","s2",6.71234088833194,11,400,0.5
"s1","s2",6.53480904064134,11,400,0.5
"s1","s2",6.16671794473327,11,400,0.5
"s1","s2",6.49170460763989,11,400,0.5
"s1","s2",6.83400675663086,11,400,0.5
"s1","s2",6.25416553877088,11,400,0.5
"s1","s2",6.73995038522818,11,400,0.5
"s1","s2",6.74964345588438,11,400,0.5
"s1","s2",7.03771115224924,11,400,0.5
"s1","s2",6.90218480505149,11,400,0.5
"s1","s2",6.70616136209303,11,400,0.5
"s1","s2",7.03003367068644,11,400,0.5
"s1","s2",6.46855569325152,11,400,0.5
"s1","s2",6.49171411310911,11,400,0.5
"s1","s2",6.47742345710709,11,400,0.5
"s1","s2",6.90004421092952,11,400,0.5
"s1","s2",6.60526724001433,11,400,0.5
"s1","s2",6.67358331126977,11,400,0.5
"s1","s2",6.68802792400005,11,400,0.5
"s1","s2",6.28433734189883,11,400,0.5
"s1","s2",6.91015933906802,11,400,0.5
"s1","s2",6.2717576261763,11,400,0.5
"s1","s2",6.68593264633834,11,400,0.5
"s1","s2",6.07445332928987,11,400,0.5
"s1","s2",6.5557373646475,11,400,0.5
"s1","s2",6.43787332908274,11,400,0.5
"s1","s2",7.15766571849558,11,400,0.5
"s1","s2",6.64016561707773,11,400,0.5
"s1","s2",6.630144434345,11,400,0.5
"s1","s2",6.39717619717061,11,400,0.5
"s1","s2",6.21799226708338,11,400,0.5
"s1","s2",6.66714184516935,11,400,0.5
"s1","s2",6.42834229113708,11,400,0.5
"s1","s2",7.13348091353436,11,400,0.5
"s1","s2",6.38044196180574,11,400,0.5
"s1","s2",6.3067508313654,11,400,0.5
"s1","s2",6.99175712155034,11,400,0.5
"s1","s2",6.43466220676004,11,400,0.5
"s1","s2",6.630144434345,11,400,0.5
"s1","s2",6.71896099560684,11,400,0.5
"s1","s2",6.45958585332394,11,400,0.5
"s1","s2",6.29488788507924,11,400,0.5
"s1","s2",6.24963458751587,11,400,0.5
"s1","s2",6.77580146292189,11,400,0.5
"s1","s2",6.62453997320778,11,400,0.5
"s1","s2",6.3106184771932,11,400,0.5
"s1","s2",6.90914895660495,11,400,0.5
"s1","s2",6.24402883758975,11,400,0.5
"s1","s2",6.78163698007558,11,400,0.5
"s1","s2",6.86413908688175,11,400,0.5
"s1","s2",6.55414173763476,11,400,0.5
"s1","s2",6.97821453586643,11,400,0.5
"s1","s2",6.62464166489771,11,400,0.5
"s1","s2",6.4976820383085,11,400,0.5
"s1","s2",6.36951984699024,11,400,0.5
"s1","s2",6.65179414884011,11,400,0.5
"s1","s2",6.54178849425497,11,400,0.5
"s1","s2",6.44294380686088,11,400,0.5
"s1","s2",6.68640786764887,11,400,0.5
"s1","s2",6.69887447326157,11,400,0.5
"s1","s2",6.84851042282914,11,400,0.5
"s1","s2",6.70997949930495,11,400,0.5
"s1","s2",6.56007074213231,11,400,0.5
"s1","s2",6.90788971044418,11,400,0.5
"s1","s2",6.46447043850406,11,400,0.5
"s1","s2",6.07016290939333,11,400,0.5
"s1","s2",6.30359106290052,11,400,0.5
"s1","s2",6.79528899168218,11,400,0.5
"s1","s2",7.07032533537175,11,400,0.5
"s1","s2",6.58159603030823,11,400,0.5
"s1","s2",6.85279165853381,11,400,0.5
"s1","s2",6.59561783009673,11,400,0.5
"s1","s2",6.48449316022624,11,400,0.5
"s1","s2",6.68431737538965,11,400,0.5
"s1","s2",6.46653351745252,11,400,0.5
"s1","s2",6.25632820680683,11,400,0.5
