"from","to","interval","rep","Tmax","strength"
"s1","s2",7.30682887433557,8,300,0.01
"s1","s2",6.88716656073303,8,300,0.01
"s1","s2",6.84906693073103,8,300,0.01
"s1","s2",6.51069934002189,8,300,0.01
"s1","s2",5.88203507846544,8,300,0.01
"s1","s2",6.39542186173955,8,300,0.01
"s1","s2",6.17459598858345,8,300,0.01
"s1","s2",6.2038149167914,8,300,0.01
"s1","s2",6.42962434062405,8,300,0.01
"s1","s2",6.27813057910376,8,300,0.01
"s1","s2",7.121730770293,8,300,0.01
"s1","s2",6.50982226994952,8,300,0.01
"s1","s2",6.51106451277144,8,300,0.01
"s1","s2",6.90943545514705,8,300,0.01
"s1","s2",6.3505334644179,8,300,0.01
"s1","s2",6.67997153326849,8,300,0.01
"s1","s2",6.71584262006164,8,300,0.01
"s1","s2",6.59580037365231,8,300,0.01
"s1","s2",6.06370684499286,8,300,0.01
"s1","s2",7.14004823166643,8,300,0.01
"s1","s2",6.38757500107188,8,300,0.01
"s1","s2",6.65855681184836,8,300,0.01
"s1","s2",6.10847680919803,8,300,0.01
"s1","s2",6.26770284406555,8,300,0.01
"s1","s2",6.68421232111627,8,300,0.01
"s1","s2",6.55636737402568,8,300,0.01
"s1","s2",6.09198942227573,8,300,0.01
"s1","s2",6.24705572522367,8,300,0.01
"s1","s2",6.83159166592013,8,300,0.01
"s1","s2",6.13629612090597,8,300,0.01
"s1","s2",6.6805105771105,8,300,0.01
"s1","s2",6.13688290140681,8,300,0.01
"s1","s2",6.23291295266068,8,300,0.01
"s1","s2",6.38345925975761,8,300,0.01
"s1","s2",6.22544253863677,8,300,0.01
"s1","s2",6.38644408114249,8,300,0.01
"s1","s2",7.03581148216051,8,300,0.01
"s1","s2",6.45253377355635,8,300,0.01
"s1","s2",7.09081914131882,8,300,0.01
"s1","s2",6.46201943020091,8,300,0.01
"s1","s2",6.4584580373964,8,300,0.01
"s1","s2",6.72208935343773,8,300,0.01
"s1","s2",7.11975862589168,8,300,0.01
"s1","s2",6.12461509935039,8,300,0.01
"s1","s2",6.56514136562322,8,300,0.01
"s1","s2",6.20676646019032,8,300,0.01
"s1","s2",6.62382820559334,8,300,0.01
"s1","s2",6.33676099424679,8,300,0.01
"s1","s2",6.52036819464037,8,300,0.01
"s1","s2",6.44867772390475,8,300,0.01
"s1","s2",6.78017094746167,8,300,0.01
"s1","s2",6.80423564130228,8,300,0.01
"s1","s2",6.96750374406679,8,300,0.01
"s1","s2",6.43604082726927,8,300,0.01
"s1","s2",6.60505102180685,8,300,0.01
"s1","s2",6.09197734995472,8,300,0.01
"s1","s2",6.78750038335626,8,300,0.01
"s1","s2",6.82606956911697,8,300,0.01
"s1","s2",6.41414025001933,8,300,0.01
"s1","s2",6.80979759880086,8,300,0.01
"s1","s2",7.13311544969434,8,300,0.01
"s1","s2",5.98866399390448,8,300,0.01
"s1","s2",6.4584782253134,8,300,0.01
"s1","s2",6.52935459171761,8,300,0.01
"s1","s2",6.36850917629926,8,300,0.01
"s1","s2",6.73682669460197,8,300,0.01
"s1","s2",6.94395545391387,8,300,0.01
"s1","s2",7.08575701238851,8,300,0.01
"s1","s2",6.91464737946881,8,300,0.01
"s1","s2",6.22632591391812,8,300,0.01
"s1","s2",6.46845496425414,8,300,0.01
"s1","s2",6.71584262006164,8,300,0.01
"s1","s2",6.58456989875868,8,300,0.01
"s1","s2",6.21380871526124,8,300,0.01
"s1","s2",6.39420383606792,8,300,0.01
"s1","s2",6.7464406256492,8,300,0.01
"s1","s2",6.35781834685,8,300,0.01
"s1","s2",7.39433224083635,8,300,0.01
"s1","s2",6.86861980701573,8,300,0.01
"s1","s2",7.21691570582937,8,300,0.01
"s1","s2",6.81158821052713,8,300,0.01
"s1","s2",6.40251261344361,8,300,0.01
"s1","s2",6.88205326327805,8,300,0.01
"s1","s2",6.35978626110629,8,300,0.01
"s1","s2",6.74255927517378,8,300,0.01
"s1","s2",7.11464231852635,8,300,0.01
"s1","s2",7.81597186922527,8,300,0.01
"s1","s2",6.62778603436897,8,300,0.01
"s1","s2",6.6322245032157,8,300,0.01
"s1","s2",6.44645453535949,8,300,0.01
