"from","to","interval","rep","Tmax","strength"
"s1","s2",7.0664959437099,6,500,0.01
"s1","s2",7.09541279668579,6,500,0.01
"s1","s2",6.81343894748942,6,500,0.01
"s1","s2",6.31766932289185,6,500,0.01
"s1","s2",6.53065735199475,6,500,0.01
"s1","s2",7.10934390579192,6,500,0.01
"s1","s2",7.44415249038545,6,500,0.01
"s1","s2",7.16207782682076,6,500,0.01
"s1","s2",6.60226278661926,6,500,0.01
"s1","s2",6.57166257255895,6,500,0.01
"s1","s2",6.61885371676834,6,500,0.01
"s1","s2",7.27820814985554,6,500,0.01
"s1","s2",6.23862602650232,6,500,0.01
"s1","s2",6.70792353240341,6,500,0.01
"s1","s2",6.54868485847419,6,500,0.01
"s1","s2",7.00228823251366,6,500,0.01
"s1","s2",6.32216263634678,6,500,0.01
"s1","s2",6.75142712999059,6,500,0.01
"s1","s2",6.34968293200987,6,500,0.01
"s1","s2",7.12739841135799,6,500,0.01
"s1","s2",6.68848235319173,6,500,0.01
"s1","s2",6.87345465474266,6,500,0.01
"s1","s2",6.4768285928281,6,500,0.01
"s1","s2",7.16642890268902,6,500,0.01
"s1","s2",6.47766308090166,6,500,0.01
"s1","s2",6.92313827197742,6,500,0.01
"s1","s2",6.55967271166622,6,500,0.01
"s1","s2",6.98425621602573,6,500,0.01
"s1","s2",6.55051314954414,6,500,0.01
"s1","s2",6.63246960845393,6,500,0.01
"s1","s2",6.54273154073462,6,500,0.01
"s1","s2",6.78960697579259,6,500,0.01
"s1","s2",6.77312361717819,6,500,0.01
"s1","s2",6.56374304789004,6,500,0.01
"s1","s2",6.32121539277409,6,500,0.01
"s1","s2",6.46944341862238,6,500,0.01
"s1","s2",6.76718511233992,6,500,0.01
"s1","s2",6.66924634048226,6,500,0.01
"s1","s2",7.01876443468815,6,500,0.01
"s1","s2",6.80501603976476,6,500,0.01
"s1","s2",6.7075973606289,6,500,0.01
"s1","s2",7.36751324214319,6,500,0.01
"s1","s2",6.58596057479201,6,500,0.01
"s1","s2",6.76066288986254,6,500,0.01
"s1","s2",6.64684249255311,6,500,0.01
"s1","s2",6.2606478749144,6,500,0.01
"s1","s2",6.47922934709578,6,500,0.01
"s1","s2",6.87981407456752,6,500,0.01
"s1","s2",6.36378101705272,6,500,0.01
"s1","s2",6.83710315446147,6,500,0.01
"s1","s2",6.69536753201254,6,500,0.01
"s1","s2",6.85803202181614,6,500,0.01
"s1","s2",6.21321590630048,6,500,0.01
"s1","s2",6.99748384572524,6,500,0.01
"s1","s2",6.41913965291832,6,500,0.01
"s1","s2",6.22800741138096,6,500,0.01
"s1","s2",6.72867804067189,6,500,0.01
"s1","s2",6.8532265315572,6,500,0.01
"s1","s2",6.69743871537128,6,500,0.01
"s1","s2",6.31418403814166,6,500,0.01
"s1","s2",6.32661345150962,6,500,0.01
"s1","s2",6.34025298880448,6,500,0.01
"s1","s2",6.97161617990321,6,500,0.01
"s1","s2",6.5801508090359,6,500,0.01
"s1","s2",6.5009333133877,6,500,0.01
"s1","s2",6.42513803457803,6,500,0.01
"s1","s2",7.23773551584393,6,500,0.01
"s1","s2",6.92114859497273,6,500,0.01
"s1","s2",6.79477691674637,6,500,0.01
"s1","s2",7.08185100474556,6,500,0.01
"s1","s2",7.36698694441566,6,500,0.01
"s1","s2",6.62773944890949,6,500,0.01
"s1","s2",6.66540777743654,6,500,0.01
"s1","s2",6.66843795490041,6,500,0.01
"s1","s2",6.33939661218116,6,500,0.01
"s1","s2",6.97449258431115,6,500,0.01
"s1","s2",6.63220329460705,6,500,0.01
"s1","s2",6.71117912590614,6,500,0.01
"s1","s2",7.43312976521461,6,500,0.01
"s1","s2",6.37984854141999,6,500,0.01
"s1","s2",6.82247675296851,6,500,0.01
"s1","s2",6.23296039062167,6,500,0.01
"s1","s2",7.04319139906846,6,500,0.01
"s1","s2",6.855430232908,6,500,0.01
"s1","s2",6.78199752217225,6,500,0.01
"s1","s2",6.86585859085824,6,500,0.01
"s1","s2",6.86761370557625,6,500,0.01
"s1","s2",6.98315254757668,6,500,0.01
"s1","s2",6.83810243929479,6,500,0.01
"s1","s2",6.96457137572651,6,500,0.01
"s1","s2",6.87445355075188,6,500,0.01
"s1","s2",6.50799316985979,6,500,0.01
"s1","s2",6.61416173125727,6,500,0.01
"s1","s2",6.67446972827232,6,500,0.01
"s1","s2",6.69232656540402,6,500,0.01
"s1","s2",6.61280970173786,6,500,0.01
"s1","s2",6.87362041453457,6,500,0.01
"s1","s2",6.46181161701452,6,500,0.01
"s1","s2",6.49602237490417,6,500,0.01
"s1","s2",7.08832115845216,6,500,0.01
"s1","s2",6.62773944890949,6,500,0.01
"s1","s2",6.80134540886868,6,500,0.01
"s1","s2",6.67897481243813,6,500,0.01
"s1","s2",6.5682980952086,6,500,0.01
"s1","s2",6.97178012380863,6,500,0.01
"s1","s2",6.38610641359573,6,500,0.01
"s1","s2",6.45751483275274,6,500,0.01
"s1","s2",6.69183016169723,6,500,0.01
