"from","to","interval","rep","Tmax","strength"
"s1","s2",6.81880906174076,3,400,1
"s1","s2",6.73003341743058,3,400,1
"s1","s2",6.2822117660376,3,400,1
"s1","s2",6.45840417220316,3,400,1
"s1","s2",6.31144046706993,3,400,1
"s1","s2",6.27869768867123,3,400,1
"s1","s2",7.12428787739807,3,400,1
"s1","s2",6.80194304194021,3,400,1
"s1","s2",6.69935349966439,3,400,1
"s1","s2",6.36741837519602,3,400,1
"s1","s2",6.77372220939139,3,400,1
"s1","s2",6.56872392272129,3,400,1
"s1","s2",6.66187297124995,3,400,1
"s1","s2",6.61120053988271,3,400,1
"s1","s2",6.79266577639331,3,400,1
"s1","s2",6.0106437621433,3,400,1
"s1","s2",7.01304781284654,3,400,1
"s1","s2",6.62500647049171,3,400,1
"s1","s2",6.90896908079398,3,400,1
"s1","s2",6.55428964907881,3,400,1
"s1","s2",6.19731660831607,3,400,1
"s1","s2",6.7943705528392,3,400,1
"s1","s2",6.427591372477,3,400,1
"s1","s2",6.7070727914649,3,400,1
"s1","s2",6.49368683657006,3,400,1
"s1","s2",6.95649234282706,3,400,1
"s1","s2",6.65594307685785,3,400,1
"s1","s2",6.66828614379532,3,400,1
"s1","s2",6.24038843930228,3,400,1
"s1","s2",6.28233862265461,3,400,1
"s1","s2",6.20137224892275,3,400,1
"s1","s2",6.851115239064,3,400,1
"s1","s2",6.78907289658721,3,400,1
"s1","s2",6.65152734674722,3,400,1
"s1","s2",7.22774573554663,3,400,1
"s1","s2",6.59862257630974,3,400,1
"s1","s2",6.53266236010518,3,400,1
"s1","s2",6.31068833354043,3,400,1
"s1","s2",6.56834260758271,3,400,1
"s1","s2",6.78724122134878,3,400,1
"s1","s2",6.51404463173702,3,400,1
"s1","s2",6.8003080595804,3,400,1
"s1","s2",6.65414198283582,3,400,1
"s1","s2",6.67478692060064,3,400,1
"s1","s2",7.01471263943761,3,400,1
"s1","s2",6.14968855293134,3,400,1
"s1","s2",6.19199676476259,3,400,1
"s1","s2",6.22405569249562,3,400,1
"s1","s2",6.86856754948889,3,400,1
"s1","s2",6.15687503875563,3,400,1
"s1","s2",6.87152195358021,3,400,1
"s1","s2",6.39006053489405,3,400,1
"s1","s2",6.55068766398057,3,400,1
"s1","s2",6.26554600613652,3,400,1
"s1","s2",6.18360310752294,3,400,1
"s1","s2",6.62500647049171,3,400,1
"s1","s2",6.19045648901559,3,400,1
"s1","s2",6.71228540316357,3,400,1
"s1","s2",7.026050702459,3,400,1
"s1","s2",6.32304839087828,3,400,1
"s1","s2",6.6737135398004,3,400,1
"s1","s2",6.89857874092736,3,400,1
"s1","s2",6.58193942020385,3,400,1
"s1","s2",6.30462907166999,3,400,1
"s1","s2",6.27962486547969,3,400,1
"s1","s2",6.68456724200302,3,400,1
"s1","s2",6.79493825658709,3,400,1
"s1","s2",6.49743722299763,3,400,1
"s1","s2",6.47854958321824,3,400,1
"s1","s2",6.68816005281652,3,400,1
"s1","s2",6.53204988280307,3,400,1
"s1","s2",6.73025199006184,3,400,1
"s1","s2",6.99781079333788,3,400,1
"s1","s2",7.02223244561893,3,400,1
"s1","s2",6.65928209714607,3,400,1
"s1","s2",6.84546754574621,3,400,1
"s1","s2",6.39192024572431,3,400,1
"s1","s2",6.31033183264251,3,400,1
"s1","s2",6.72224442443469,3,400,1
"s1","s2",6.54653444932023,3,400,1
"s1","s2",6.35883456482846,3,400,1
"s1","s2",6.7220958074119,3,400,1
"s1","s2",6.70553267768844,3,400,1
"s1","s2",6.53798082328242,3,400,1
"s1","s2",6.90951183069616,3,400,1
"s1","s2",6.34200056722734,3,400,1
"s1","s2",6.54975234083571,3,400,1
"s1","s2",6.58933607861223,3,400,1
"s1","s2",6.48477544974699,3,400,1
"s1","s2",6.65670208565355,3,400,1
"s1","s2",6.79295147811024,3,400,1
"s1","s2",6.75614115294322,3,400,1
"s1","s2",6.3192388040309,3,400,1
"s1","s2",6.624978216653,3,400,1
"s1","s2",6.544061016222,3,400,1
"s1","s2",7.12835989485536,3,400,1
"s1","s2",6.40506670952587,3,400,1
"s1","s2",6.21901267541067,3,400,1
"s1","s2",6.73772996254198,3,400,1
"s1","s2",6.81704519818069,3,400,1
"s1","s2",6.75472126197417,3,400,1
"s1","s2",7.03483110351198,3,400,1
"s1","s2",6.58115920407656,3,400,1
"s1","s2",6.4157653999472,3,400,1
"s1","s2",6.61780045991033,3,400,1
"s1","s2",6.70496533905879,3,400,1
"s1","s2",6.69562816770418,3,400,1
"s1","s2",6.5840382329008,3,400,1
"s1","s2",6.68793145448643,3,400,1
"s1","s2",6.47854958321824,3,400,1
"s1","s2",6.61678122751721,3,400,1
"s1","s2",6.62939764964386,3,400,1
"s1","s2",6.39599952490642,3,400,1
"s1","s2",6.30822120726422,3,400,1
"s1","s2",6.64738056378462,3,400,1
"s1","s2",6.96671416457021,3,400,1
"s1","s2",6.83732242098307,3,400,1
"s1","s2",6.76083806657877,3,400,1
"s1","s2",6.39233851308252,3,400,1
"s1","s2",6.69756058691678,3,400,1
"s1","s2",6.45675842679667,3,400,1
"s1","s2",6.75639576859619,3,400,1
"s1","s2",6.65388720243783,3,400,1
"s1","s2",6.43924312196794,3,400,1
"s1","s2",6.51697764074642,3,400,1
"s1","s2",6.62957829796193,3,400,1
"s1","s2",6.11955636001005,3,400,1
"s1","s2",6.69893111169404,3,400,1
"s1","s2",6.49926278193445,3,400,1
"s1","s2",6.56536050368119,3,400,1
"s1","s2",6.63260868380553,3,400,1
"s1","s2",6.33046903206786,3,400,1
"s1","s2",6.85350600193665,3,400,1
"s1","s2",6.7923386258952,3,400,1
"s1","s2",6.69044275106216,3,400,1
"s1","s2",6.10382333320027,3,400,1
"s1","s2",6.38511228352966,3,400,1
"s1","s2",6.04704764306958,3,400,1
"s1","s2",6.49331570144239,3,400,1
"s1","s2",6.35714767177848,3,400,1
"s1","s2",6.71864314712102,3,400,1
"s1","s2",7.13961105324813,3,400,1
"s1","s2",7.17257955205897,3,400,1
"s1","s2",6.72566308857915,3,400,1
"s1","s2",6.89196996118721,3,400,1
"s1","s2",6.27191209302384,3,400,1
"s1","s2",6.31623986952064,3,400,1
"s1","s2",6.59367740251829,3,400,1
"s1","s2",6.9480342378464,3,400,1
"s1","s2",6.75890978626784,3,400,1
"s1","s2",6.40117647040053,3,400,1
"s1","s2",6.38895475224967,3,400,1
"s1","s2",6.91611310953278,3,400,1
"s1","s2",6.63469356202566,3,400,1
"s1","s2",6.32000778342569,3,400,1
"s1","s2",6.48443474969167,3,400,1
"s1","s2",6.28891363156561,3,400,1
"s1","s2",6.58112111065502,3,400,1
