"from","to","interval","rep","Tmax","strength"
"s1","s2",4.95125732683546,3,100,1
"s1","s2",4.61914567698483,3,100,1
"s1","s2",4.99597735773047,3,100,1
"s1","s2",5.1487979470921,3,100,1
"s1","s2",5.58057966261586,3,100,1
"s1","s2",5.73183148270338,3,100,1
"s1","s2",5.23656156506528,3,100,1
"s1","s2",5.20361234779376,3,100,1
"s1","s2",5.24071529445157,3,100,1
"s1","s2",5.12659461429895,3,100,1
"s1","s2",5.21995144037768,3,100,1
"s1","s2",5.10322693608538,3,100,1
"s1","s2",5.26369378629149,3,100,1
"s1","s2",5.47549720567713,3,100,1
"s1","s2",5.66311872938841,3,100,1
"s1","s2",4.94952037531782,3,100,1
"s1","s2",5.21422848450699,3,100,1
"s1","s2",6.22252006790889,3,100,1
"s1","s2",5.60434328888012,3,100,1
"s1","s2",6.00491987566123,3,100,1
"s1","s2",5.35264534885088,3,100,1
"s1","s2",4.82553293341505,3,100,1
"s1","s2",4.45683149172551,3,100,1
"s1","s2",5.09121515363815,3,100,1
"s1","s2",4.98913397869887,3,100,1
"s1","s2",4.94954852761428,3,100,1
"s1","s2",5.11477448681633,3,100,1
"s1","s2",5.61491623062656,3,100,1
"s1","s2",4.90558170653071,3,100,1
"s1","s2",5.23415587132536,3,100,1
"s1","s2",5.56046556332072,3,100,1
"s1","s2",5.10130368165005,3,100,1
"s1","s2",5.81088779074799,3,100,1
"s1","s2",4.97375982722616,3,100,1
"s1","s2",5.28327446946763,3,100,1
"s1","s2",5.26369378629149,3,100,1
"s1","s2",5.08971459410461,3,100,1
"s1","s2",5.58137562774037,3,100,1
"s1","s2",5.63620303205731,3,100,1
"s1","s2",4.79315440868526,3,100,1
"s1","s2",5.37471276282197,3,100,1
"s1","s2",4.95335995626834,3,100,1
"s1","s2",5.44316592609337,3,100,1
"s1","s2",5.24892769807782,3,100,1
"s1","s2",4.96289912752555,3,100,1
"s1","s2",5.55496105592033,3,100,1
"s1","s2",5.72281274854969,3,100,1
"s1","s2",5.570811789086,3,100,1
"s1","s2",5.24606504419242,3,100,1
"s1","s2",4.84998095688236,3,100,1
"s1","s2",5.02536482487719,3,100,1
"s1","s2",5.42372810958495,3,100,1
"s1","s2",4.5830868094844,3,100,1
"s1","s2",5.21105458672153,3,100,1
"s1","s2",5.12404909435208,3,100,1
"s1","s2",5.48368267582867,3,100,1
"s1","s2",5.48131433292143,3,100,1
"s1","s2",5.1492543828985,3,100,1
"s1","s2",6.30771690747098,3,100,1
"s1","s2",5.74768253778004,3,100,1
"s1","s2",6.88358395256991,3,100,1
"s1","s2",5.18524576174254,3,100,1
"s1","s2",5.01504811312524,3,100,1
"s1","s2",5.82031495814947,3,100,1
"s1","s2",4.85419500601239,3,100,1
"s1","s2",5.01846664399001,3,100,1
"s1","s2",5.21528449836465,3,100,1
"s1","s2",5.34235334621491,3,100,1
"s1","s2",5.44706046181317,3,100,1
"s1","s2",4.81388785822114,3,100,1
"s1","s2",5.10561503279382,3,100,1
