"from","to","interval","rep","Tmax","strength"
"s1","s2",4.70502314562653,9,20,0.01
"s1","s2",4.40588792297828,9,20,0.01
"s1","s2",4.81011144313107,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",3.61549433952938,9,20,0.01
"s1","s2",3.80026691829909,9,20,0.01
"s1","s2",5.00177707481606,9,20,0.01
"s1","s2",4.29214009891682,9,20,0.01
"s1","s2",3.92709238797367,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",5.64152880820116,9,20,0.01
"s1","s2",4.58759139899465,9,20,0.01
"s1","s2",4.86193586400842,9,20,0.01
"s1","s2",5.31266370520364,9,20,0.01
"s1","s2",4.98545537823808,9,20,0.01
"s1","s2",5.38283333619612,9,20,0.01
"s1","s2",5.5461131803516,9,20,0.01
"s1","s2",5.04105705269922,9,20,0.01
"s1","s2",4.0879045365577,9,20,0.01
"s1","s2",5.36125150287991,9,20,0.01
"s1","s2",3.84956896276024,9,20,0.01
"s1","s2",5.46447325827386,9,20,0.01
"s1","s2",4.45710264373306,9,20,0.01
"s1","s2",4.4035053892036,9,20,0.01
"s1","s2",3.73951065351327,9,20,0.01
"s1","s2",4.70319342150731,9,20,0.01
"s1","s2",4.52856302740722,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",4.9285662486492,9,20,0.01
"s1","s2",4.71977990430808,9,20,0.01
"s1","s2",4.74607472451569,9,20,0.01
"s1","s2",5.80164204353028,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",4.1946886245351,9,20,0.01
"s1","s2",5.11446392783461,9,20,0.01
"s1","s2",4.33036159703318,9,20,0.01
"s1","s2",4.05746088438809,9,20,0.01
"s1","s2",4.37462137132494,9,20,0.01
"s1","s2",3.44483361314734,9,20,0.01
"s1","s2",5.20115427778957,9,20,0.01
"s1","s2",5.07321263135071,9,20,0.01
"s1","s2",5.36125150287991,9,20,0.01
"s1","s2",3.92886390134359,9,20,0.01
"s1","s2",3.78610318882272,9,20,0.01
"s1","s2",3.78760435458243,9,20,0.01
"s1","s2",4.24860878867998,9,20,0.01
"s1","s2",5.54911397970409,9,20,0.01
"s1","s2",4.63406308302214,9,20,0.01
"s1","s2",5.0016244418064,9,20,0.01
"s1","s2",3.80026691829909,9,20,0.01
"s1","s2",3.56662108215308,9,20,0.01
"s1","s2",4.71977990430808,9,20,0.01
"s1","s2",6.32044840780318,9,20,0.01
"s1","s2",5.5461131803516,9,20,0.01
"s1","s2",3.86352696749716,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",5.17521229361076,9,20,0.01
"s1","s2",3.78335245537178,9,20,0.01
"s1","s2",4.50596000161245,9,20,0.01
"s1","s2",6.64503955127443,9,20,0.01
"s1","s2",5.25965300837245,9,20,0.01
"s1","s2",4.96219183091358,9,20,0.01
"s1","s2",4.36858309514954,9,20,0.01
"s1","s2",4.30129243185012,9,20,0.01
"s1","s2",3.80026691829909,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",3.61195438995714,9,20,0.01
"s1","s2",4.29214009891682,9,20,0.01
"s1","s2",3.74440216087297,9,20,0.01
"s1","s2",3.84956896276024,9,20,0.01
"s1","s2",5.93300701896923,9,20,0.01
"s1","s2",4.96219183091358,9,20,0.01
"s1","s2",5.23284972088257,9,20,0.01
"s1","s2",4.73292731441189,9,20,0.01
"s1","s2",4.9891730843416,9,20,0.01
"s1","s2",5.24742493365971,9,20,0.01
"s1","s2",3.62845777425901,9,20,0.01
"s1","s2",3.86352696749716,9,20,0.01
"s1","s2",4.6900460114035,9,20,0.01
"s1","s2",2.58031826632957,9,20,0.01
"s1","s2",3.50949585107869,9,20,0.01
"s1","s2",5.63385015908011,9,20,0.01
"s1","s2",3.51774782477677,9,20,0.01
"s1","s2",4.9285662486492,9,20,0.01
"s1","s2",4.74607472451569,9,20,0.01
"s1","s2",5.02592840584773,9,20,0.01
"s1","s2",4.70319342150731,9,20,0.01
"s1","s2",5.04105705269922,9,20,0.01
"s1","s2",4.88600156518171,9,20,0.01
"s1","s2",4.70482007392438,9,20,0.01
"s1","s2",5.01531814022256,9,20,0.01
"s1","s2",4.45121320312838,9,20,0.01
"s1","s2",5.07626048444311,9,20,0.01
"s1","s2",3.8174987201153,9,20,0.01
"s1","s2",3.4113121579357,9,20,0.01
"s1","s2",5.04105705269922,9,20,0.01
"s1","s2",5.14444406488161,9,20,0.01
"s1","s2",3.56662108215308,9,20,0.01
"s1","s2",5.24742493365971,9,20,0.01
"s1","s2",4.97583509063725,9,20,0.01
"s1","s2",4.02551855781502,9,20,0.01
"s1","s2",3.99357623124196,9,20,0.01
"s1","s2",2.89050558664092,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",5.25113085216807,9,20,0.01
"s1","s2",3.61253389972349,9,20,0.01
"s1","s2",5.72959746428327,9,20,0.01
"s1","s2",4.99421275139031,9,20,0.01
"s1","s2",3.96130469989829,9,20,0.01
"s1","s2",4.78623906912676,9,20,0.01
"s1","s2",5.02592840584773,9,20,0.01
"s1","s2",5.03662480184814,9,20,0.01
"s1","s2",5.04957051859922,9,20,0.01
"s1","s2",4.36858309514954,9,20,0.01
"s1","s2",3.9215725970011,9,20,0.01
"s1","s2",5.39862201625984,9,20,0.01
"s1","s2",4.03214636970797,9,20,0.01
"s1","s2",3.41293034893895,9,20,0.01
"s1","s2",5.93300701896923,9,20,0.01
"s1","s2",4.68071754356879,9,20,0.01
"s1","s2",6.05717090670895,9,20,0.01
"s1","s2",4.51487067949038,9,20,0.01
"s1","s2",5.30318451542406,9,20,0.01
"s1","s2",4.1634367827541,9,20,0.01
"s1","s2",5.60960124734668,9,20,0.01
"s1","s2",4.4150873293234,9,20,0.01
"s1","s2",4.88041847850365,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",4.58759139899465,9,20,0.01
"s1","s2",3.92855159936956,9,20,0.01
"s1","s2",3.95829047035866,9,20,0.01
"s1","s2",3.70272104848972,9,20,0.01
"s1","s2",4.29214009891682,9,20,0.01
"s1","s2",3.72402910453926,9,20,0.01
"s1","s2",4.36858309514954,9,20,0.01
"s1","s2",6.47919006403543,9,20,0.01
"s1","s2",5.09213520206671,9,20,0.01
"s1","s2",5.12376522666574,9,20,0.01
"s1","s2",5.25113085216807,9,20,0.01
"s1","s2",5.5461131803516,9,20,0.01
"s1","s2",5.25113085216807,9,20,0.01
"s1","s2",3.84956896276024,9,20,0.01
"s1","s2",5.58044062500039,9,20,0.01
"s1","s2",3.88366897419857,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",4.18221982112531,9,20,0.01
"s1","s2",4.14859512346954,9,20,0.01
"s1","s2",3.99357623124196,9,20,0.01
"s1","s2",3.30481894828239,9,20,0.01
"s1","s2",5.07605741274097,9,20,0.01
"s1","s2",5.50834174763811,9,20,0.01
"s1","s2",4.74607472451569,9,20,0.01
"s1","s2",4.6900460114035,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",4.60432919011757,9,20,0.01
"s1","s2",5.55211477905657,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",4.29214009891682,9,20,0.01
"s1","s2",4.61028630733994,9,20,0.01
"s1","s2",4.24602650135439,9,20,0.01
"s1","s2",3.5012438773806,9,20,0.01
"s1","s2",5.96838706678519,9,20,0.01
"s1","s2",6.10505587628426,9,20,0.01
"s1","s2",5.64152880820116,9,20,0.01
"s1","s2",4.61028630733994,9,20,0.01
"s1","s2",3.650605147404,9,20,0.01
"s1","s2",5.25113085216807,9,20,0.01
"s1","s2",3.70272104848972,9,20,0.01
"s1","s2",4.14285816507939,9,20,0.01
"s1","s2",3.33734059428833,9,20,0.01
"s1","s2",4.25858910930954,9,20,0.01
"s1","s2",4.54225537532406,9,20,0.01
"s1","s2",4.74607472451569,9,20,0.01
"s1","s2",4.18221982112531,9,20,0.01
"s1","s2",4.70159893584976,9,20,0.01
"s1","s2",3.78312400799344,9,20,0.01
"s1","s2",4.29214009891682,9,20,0.01
"s1","s2",4.22533943748751,9,20,0.01
"s1","s2",5.57037587842155,9,20,0.01
"s1","s2",4.54225537532406,9,20,0.01
"s1","s2",4.25601422511184,9,20,0.01
"s1","s2",5.05011542856215,9,20,0.01
"s1","s2",5.17924135322121,9,20,0.01
"s1","s2",4.48039925058569,9,20,0.01
"s1","s2",4.70502314562653,9,20,0.01
"s1","s2",4.9285662486492,9,20,0.01
"s1","s2",4.74607472451569,9,20,0.01
"s1","s2",5.58044062500039,9,20,0.01
"s1","s2",5.59382099427638,9,20,0.01
"s1","s2",6.05717090670895,9,20,0.01
"s1","s2",5.54911397970409,9,20,0.01
"s1","s2",4.97779700350115,9,20,0.01
"s1","s2",5.59206893556865,9,20,0.01
"s1","s2",4.5483462617362,9,20,0.01
"s1","s2",3.41481449401779,9,20,0.01
"s1","s2",3.61023443663325,9,20,0.01
"s1","s2",5.25049323962506,9,20,0.01
"s1","s2",4.7600261894126,9,20,0.01
"s1","s2",5.16217174175939,9,20,0.01
"s1","s2",4.83599387982961,9,20,0.01
"s1","s2",4.44172688731996,9,20,0.01
"s1","s2",4.51444760682423,9,20,0.01
"s1","s2",5.37731923150982,9,20,0.01
"s1","s2",4.97779700350115,9,20,0.01
"s1","s2",3.41651646934872,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",3.88366897419857,9,20,0.01
"s1","s2",5.11105777278271,9,20,0.01
"s1","s2",4.86067204006132,9,20,0.01
"s1","s2",4.73292731441189,9,20,0.01
"s1","s2",5.60960124734668,9,20,0.01
"s1","s2",4.96219183091358,9,20,0.01
"s1","s2",4.67051483103386,9,20,0.01
"s1","s2",5.36999279101328,9,20,0.01
"s1","s2",4.88568494564082,9,20,0.01
"s1","s2",4.35888650144351,9,20,0.01
"s1","s2",4.0534427969141,9,20,0.01
"s1","s2",5.75927435695945,9,20,0.01
"s1","s2",4.7143063897328,9,20,0.01
"s1","s2",4.44911282005575,9,20,0.01
"s1","s2",4.25762137383284,9,20,0.01
"s1","s2",5.41578573858423,9,20,0.01
"s1","s2",2.3166607099854,9,20,0.01
"s1","s2",4.71977990430808,9,20,0.01
"s1","s2",4.97583509063725,9,20,0.01
"s1","s2",4.96249709693289,9,20,0.01
"s1","s2",4.9259725826238,9,20,0.01
"s1","s2",4.71977990430808,9,20,0.01
"s1","s2",5.11105777278271,9,20,0.01
"s1","s2",4.05746088438809,9,20,0.01
"s1","s2",3.84956896276024,9,20,0.01
"s1","s2",3.34451283510786,9,20,0.01
"s1","s2",4.51444760682423,9,20,0.01
"s1","s2",3.93862260272026,9,20,0.01
"s1","s2",4.40588792297828,9,20,0.01
"s1","s2",4.36858309514954,9,20,0.01
"s1","s2",4.21439647675536,9,20,0.01
"s1","s2",3.6084144403849,9,20,0.01
"s1","s2",4.9891730843416,9,20,0.01
"s1","s2",5.93300701896923,9,20,0.01
"s1","s2",5.00177707481606,9,20,0.01
"s1","s2",5.24886209171435,9,20,0.01
"s1","s2",5.59682179362887,9,20,0.01
"s1","s2",5.25113085216807,9,20,0.01
"s1","s2",5.93675704218616,9,20,0.01
"s1","s2",5.13647268054878,9,20,0.01
"s1","s2",5.36465475037324,9,20,0.01
"s1","s2",3.33734059428833,9,20,0.01
"s1","s2",5.4888547298585,9,20,0.01
"s1","s2",3.93862260272026,9,20,0.01
"s1","s2",5.45668314096824,9,20,0.01
"s1","s2",5.19194880710424,9,20,0.01
"s1","s2",4.30324830838106,9,20,0.01
"s1","s2",4.84098586761083,9,20,0.01
"s1","s2",4.05746088438809,9,20,0.01
"s1","s2",5.11105777278271,9,20,0.01
"s1","s2",4.71977990430808,9,20,0.01
"s1","s2",4.01777318086573,9,20,0.01
"s1","s2",5.80933363475737,9,20,0.01
"s1","s2",4.97779700350115,9,20,0.01
"s1","s2",4.68281467531763,9,20,0.01
"s1","s2",3.51774782477677,9,20,0.01
"s1","s2",5.64152880820116,9,20,0.01
"s1","s2",5.0178548641418,9,20,0.01
"s1","s2",5.64152880820116,9,20,0.01
"s1","s2",4.10673229127441,9,20,0.01
"s1","s2",3.46325196588606,9,20,0.01
"s1","s2",4.30428318559535,9,20,0.01
"s1","s2",5.5461131803516,9,20,0.01
"s1","s2",4.55732890983261,9,20,0.01
"s1","s2",4.05487709890815,9,20,0.01
"s1","s2",4.66031211849893,9,20,0.01
"s1","s2",4.1946886245351,9,20,0.01
"s1","s2",3.48852010358958,9,20,0.01
"s1","s2",5.80781484252804,9,20,0.01
"s1","s2",4.2147237766557,9,20,0.01
"s1","s2",5.04146319610352,9,20,0.01
"s1","s2",4.17480049165246,9,20,0.01
