"from","to","interval","rep","Tmax","strength"
"s1","s2",6.26352403804339,1,300,1
"s1","s2",6.12165164545883,1,300,1
"s1","s2",6.14517214333785,1,300,1
"s1","s2",5.96786283325974,1,300,1
"s1","s2",5.98078231856948,1,300,1
"s1","s2",6.30492778688364,1,300,1
"s1","s2",6.21837203502332,1,300,1
"s1","s2",6.20967516107231,1,300,1
"s1","s2",6.7474995829796,1,300,1
"s1","s2",6.08395685278165,1,300,1
"s1","s2",5.84455145026918,1,300,1
"s1","s2",6.25232279253582,1,300,1
"s1","s2",6.01295966162388,1,300,1
"s1","s2",6.47275511091539,1,300,1
"s1","s2",5.73094583969901,1,300,1
"s1","s2",5.73328701143964,1,300,1
"s1","s2",5.7837445077538,1,300,1
"s1","s2",6.52437412793329,1,300,1
"s1","s2",6.73414100821234,1,300,1
"s1","s2",5.75722451624187,1,300,1
"s1","s2",6.41265567698255,1,300,1
"s1","s2",6.0513927485477,1,300,1
"s1","s2",6.1859426019887,1,300,1
"s1","s2",6.41605378173256,1,300,1
"s1","s2",6.72474207878071,1,300,1
"s1","s2",6.70928844320945,1,300,1
"s1","s2",6.31291763836519,1,300,1
"s1","s2",6.23776034502575,1,300,1
"s1","s2",6.55075517552581,1,300,1
"s1","s2",6.49459894339964,1,300,1
"s1","s2",6.61796834505409,1,300,1
"s1","s2",6.47726638686987,1,300,1
"s1","s2",5.85210432281128,1,300,1
"s1","s2",6.1330613194188,1,300,1
"s1","s2",5.9437742192228,1,300,1
"s1","s2",5.94034757526113,1,300,1
"s1","s2",5.8720725085802,1,300,1
"s1","s2",6.21915045397002,1,300,1
"s1","s2",6.37053868169437,1,300,1
"s1","s2",6.14447737859509,1,300,1
"s1","s2",6.37579086598276,1,300,1
"s1","s2",6.23885200098421,1,300,1
"s1","s2",6.61517665075985,1,300,1
"s1","s2",5.94549836474772,1,300,1
"s1","s2",6.57871280018367,1,300,1
"s1","s2",6.21589608328813,1,300,1
"s1","s2",6.36262808189651,1,300,1
"s1","s2",6.21915045397002,1,300,1
"s1","s2",6.47849923217032,1,300,1
"s1","s2",5.92004821890698,1,300,1
"s1","s2",6.37639135955806,1,300,1
"s1","s2",5.93945100215478,1,300,1
"s1","s2",6.26203146253102,1,300,1
"s1","s2",6.21711663565414,1,300,1
"s1","s2",6.41699594253475,1,300,1
"s1","s2",6.02679155264674,1,300,1
"s1","s2",6.1364202457149,1,300,1
"s1","s2",6.09696588821032,1,300,1
"s1","s2",6.46634050342044,1,300,1
"s1","s2",6.32434156946049,1,300,1
"s1","s2",6.18469268144507,1,300,1
"s1","s2",6.0229169231334,1,300,1
"s1","s2",6.18877723504343,1,300,1
"s1","s2",6.57852654416566,1,300,1
"s1","s2",6.21214719503086,1,300,1
"s1","s2",6.20973307503619,1,300,1
"s1","s2",6.69695032790592,1,300,1
"s1","s2",5.93808667963681,1,300,1
"s1","s2",6.30967153753514,1,300,1
"s1","s2",6.10009924475284,1,300,1
"s1","s2",6.28603070435813,1,300,1
"s1","s2",6.08791013019583,1,300,1
"s1","s2",6.39360866786938,1,300,1
"s1","s2",6.10934966711438,1,300,1
"s1","s2",6.72157874831203,1,300,1
"s1","s2",5.90174803296702,1,300,1
"s1","s2",6.23215346400232,1,300,1
"s1","s2",6.36704456961996,1,300,1
"s1","s2",6.22966115372641,1,300,1
"s1","s2",6.6312516144948,1,300,1
"s1","s2",6.25227746069218,1,300,1
"s1","s2",6.14393223029333,1,300,1
"s1","s2",6.5279575469509,1,300,1
"s1","s2",6.72455920725275,1,300,1
"s1","s2",6.11812568517562,1,300,1
"s1","s2",6.05899643149982,1,300,1
"s1","s2",5.88657665195768,1,300,1
"s1","s2",6.32187942810791,1,300,1
"s1","s2",6.16770641420464,1,300,1
"s1","s2",6.03601549116156,1,300,1
"s1","s2",5.76198462333861,1,300,1
"s1","s2",5.93530221440692,1,300,1
"s1","s2",6.20851672897605,1,300,1
"s1","s2",6.35377268577165,1,300,1
"s1","s2",6.25349420680795,1,300,1
"s1","s2",6.1178908351123,1,300,1
"s1","s2",6.38490307960238,1,300,1
"s1","s2",6.21295956056217,1,300,1
"s1","s2",5.78906340030812,1,300,1
"s1","s2",6.20040338227366,1,300,1
"s1","s2",6.68182152421932,1,300,1
"s1","s2",5.57089288459716,1,300,1
"s1","s2",6.23339511611991,1,300,1
"s1","s2",6.21865393202393,1,300,1
"s1","s2",6.24699430270937,1,300,1
"s1","s2",6.12053649810984,1,300,1
"s1","s2",6.76083485583234,1,300,1
"s1","s2",6.08898512473029,1,300,1
"s1","s2",5.82316175815421,1,300,1
"s1","s2",5.8169948714409,1,300,1
"s1","s2",6.10935958062942,1,300,1
"s1","s2",6.15967443852175,1,300,1
"s1","s2",5.68237931356446,1,300,1
"s1","s2",6.22950867977715,1,300,1
"s1","s2",6.06155073121701,1,300,1
"s1","s2",5.63769889991212,1,300,1
"s1","s2",6.50177691357746,1,300,1
"s1","s2",6.37308856261181,1,300,1
"s1","s2",5.9542643800425,1,300,1
"s1","s2",6.25892247789005,1,300,1
"s1","s2",6.31606430311038,1,300,1
"s1","s2",6.22072394995187,1,300,1
"s1","s2",6.18842901890304,1,300,1
"s1","s2",6.40231425613638,1,300,1
"s1","s2",6.04406521994528,1,300,1
"s1","s2",6.13753775144636,1,300,1
"s1","s2",5.76138404856144,1,300,1
"s1","s2",6.91869567611767,1,300,1
"s1","s2",6.48881497940167,1,300,1
"s1","s2",6.29455961648921,1,300,1
"s1","s2",6.1859426019887,1,300,1
"s1","s2",6.09242809613721,1,300,1
"s1","s2",6.13238330435166,1,300,1
"s1","s2",6.17680793400106,1,300,1
"s1","s2",5.79222652969196,1,300,1
"s1","s2",6.03782252597472,1,300,1
"s1","s2",6.49459894339964,1,300,1
"s1","s2",6.18266096449603,1,300,1
"s1","s2",6.27502299669854,1,300,1
"s1","s2",6.3560937508301,1,300,1
"s1","s2",6.1330613194188,1,300,1
"s1","s2",5.9937137084399,1,300,1
"s1","s2",6.18771858937441,1,300,1
"s1","s2",6.197423265647,1,300,1
"s1","s2",6.29676792192616,1,300,1
"s1","s2",6.02819945258298,1,300,1
"s1","s2",6.0012945572216,1,300,1
"s1","s2",5.57966388904387,1,300,1
"s1","s2",6.14453763745763,1,300,1
"s1","s2",6.31436151968926,1,300,1
"s1","s2",6.06454920835197,1,300,1
"s1","s2",5.90531456101687,1,300,1
"s1","s2",6.62660722572856,1,300,1
"s1","s2",6.26770853037658,1,300,1
"s1","s2",6.22409989795055,1,300,1
"s1","s2",6.05859360590694,1,300,1
"s1","s2",6.32774338522452,1,300,1
"s1","s2",6.79489167765212,1,300,1
"s1","s2",6.11224186104442,1,300,1
"s1","s2",6.36505559183415,1,300,1
"s1","s2",6.09880645352885,1,300,1
"s1","s2",6.25080345487283,1,300,1
"s1","s2",6.11878824860509,1,300,1
"s1","s2",6.23461547749046,1,300,1
"s1","s2",5.965184314253,1,300,1
"s1","s2",6.31892419703458,1,300,1
"s1","s2",6.794010060595,1,300,1
"s1","s2",5.70811267023139,1,300,1
"s1","s2",6.32248907009149,1,300,1
"s1","s2",6.60947770919057,1,300,1
"s1","s2",6.83400934759301,1,300,1
"s1","s2",6.63843900446834,1,300,1
"s1","s2",6.2213458483389,1,300,1
"s1","s2",6.03592426445248,1,300,1
"s1","s2",5.91967530114107,1,300,1
"s1","s2",6.31476524027923,1,300,1
"s1","s2",6.27508918123155,1,300,1
"s1","s2",6.19702710024324,1,300,1
"s1","s2",6.0789999168556,1,300,1
"s1","s2",5.91116810589864,1,300,1
"s1","s2",6.12359069658612,1,300,1
"s1","s2",6.70599674179735,1,300,1
"s1","s2",5.54541792735223,1,300,1
"s1","s2",6.21388263578531,1,300,1
"s1","s2",5.9051920355223,1,300,1
"s1","s2",6.14035384300654,1,300,1
"s1","s2",6.44371765892151,1,300,1
"s1","s2",6.32645701682009,1,300,1
"s1","s2",6.31353972314679,1,300,1
"s1","s2",6.73521039959924,1,300,1
"s1","s2",6.17691571025338,1,300,1
"s1","s2",6.21103339423794,1,300,1
"s1","s2",6.55403417930435,1,300,1
"s1","s2",6.17314431784783,1,300,1
"s1","s2",6.3314504364657,1,300,1
"s1","s2",5.85768474111462,1,300,1
"s1","s2",6.05020754420509,1,300,1
"s1","s2",5.7263403122309,1,300,1
"s1","s2",6.50990664120646,1,300,1
"s1","s2",6.51629622168786,1,300,1
"s1","s2",6.88914756369697,1,300,1
"s1","s2",6.13078960173538,1,300,1
"s1","s2",6.33531968590903,1,300,1
"s1","s2",6.39378952428813,1,300,1
"s1","s2",6.2213458483389,1,300,1
"s1","s2",6.33616533743518,1,300,1
"s1","s2",6.2923950053832,1,300,1
"s1","s2",6.05520700056594,1,300,1
"s1","s2",6.14703448883549,1,300,1
"s1","s2",6.04008084370532,1,300,1
"s1","s2",5.9051920355223,1,300,1
"s1","s2",6.06797101076317,1,300,1
"s1","s2",6.15848111126724,1,300,1
"s1","s2",6.1383799581529,1,300,1
"s1","s2",5.91294939784757,1,300,1
"s1","s2",6.31649049935402,1,300,1
"s1","s2",5.86918714035242,1,300,1
"s1","s2",5.91887742281742,1,300,1
"s1","s2",5.80531062887761,1,300,1
"s1","s2",6.50946913630042,1,300,1
"s1","s2",6.79426883154867,1,300,1
"s1","s2",5.89228093741694,1,300,1
"s1","s2",6.1695562283935,1,300,1
"s1","s2",5.87899872283624,1,300,1
"s1","s2",6.2078619929965,1,300,1
"s1","s2",5.69730760165822,1,300,1
"s1","s2",6.3327211183425,1,300,1
"s1","s2",6.01755934384106,1,300,1
"s1","s2",5.54740933813406,1,300,1
"s1","s2",6.03438743732659,1,300,1
"s1","s2",6.38366274447759,1,300,1
"s1","s2",6.00891767753319,1,300,1
"s1","s2",6.28134807493543,1,300,1
"s1","s2",6.03952222214993,1,300,1
"s1","s2",6.15228540090033,1,300,1
"s1","s2",5.96338961987435,1,300,1
"s1","s2",6.35775979355793,1,300,1
"s1","s2",6.11822179569614,1,300,1
"s1","s2",6.14316993456671,1,300,1
"s1","s2",5.74397441787873,1,300,1
"s1","s2",6.06124016017947,1,300,1
"s1","s2",6.5459729995342,1,300,1
"s1","s2",6.05582725170424,1,300,1
"s1","s2",6.10763073825693,1,300,1
"s1","s2",5.85523069362157,1,300,1
"s1","s2",6.23157964068723,1,300,1
"s1","s2",6.12280031048006,1,300,1
"s1","s2",6.00311366104734,1,300,1
"s1","s2",6.12777093483732,1,300,1
"s1","s2",5.97823249808748,1,300,1
"s1","s2",5.92978262746891,1,300,1
"s1","s2",5.846237927784,1,300,1
"s1","s2",6.12631416761904,1,300,1
"s1","s2",5.81493415430677,1,300,1
"s1","s2",6.41470932871123,1,300,1
"s1","s2",6.3170225840687,1,300,1
"s1","s2",5.58221573434751,1,300,1
"s1","s2",6.02171079837667,1,300,1
"s1","s2",6.23553655674554,1,300,1
"s1","s2",5.75925620105934,1,300,1
"s1","s2",6.17871059868826,1,300,1
"s1","s2",6.22834245094074,1,300,1
"s1","s2",6.08398869039952,1,300,1
"s1","s2",6.76856838782052,1,300,1
"s1","s2",5.79172478277053,1,300,1
"s1","s2",5.75349101940481,1,300,1
"s1","s2",6.10202262860635,1,300,1
"s1","s2",5.96786283325974,1,300,1
"s1","s2",6.03487409717368,1,300,1
"s1","s2",5.92365957536414,1,300,1
"s1","s2",6.44171375180483,1,300,1
"s1","s2",6.00789085578624,1,300,1
"s1","s2",6.11209164482488,1,300,1
"s1","s2",6.22021740236042,1,300,1
"s1","s2",6.36688234630104,1,300,1
"s1","s2",6.11627001821694,1,300,1
"s1","s2",6.27998105257606,1,300,1
"s1","s2",6.33023270356689,1,300,1
"s1","s2",6.03328031162081,1,300,1
"s1","s2",5.84868844371343,1,300,1
"s1","s2",6.12345491477097,1,300,1
"s1","s2",6.46622165747982,1,300,1
"s1","s2",6.81652622094019,1,300,1
"s1","s2",6.28031494772478,1,300,1
